qmin:1.0
qmax:30.0
qdamp:0.04
qstep:0.05
rmin:0.0
rmax:20.0
rstep:0.01
rthres:0.0
biso:0.3
device:cuda
batch_size:10000
lorch_mod:False
radiation_type:xray

r,G(r)
11.4,-0.30616996
11.41,-0.2895325
11.42,-0.28336075
11.429999,-0.28787604
11.44,-0.30261245
11.45,-0.32648665
11.46,-0.35794434
11.469999,-0.39512673
11.48,-0.43601358
11.49,-0.47858647
11.5,-0.5209839
11.509999,-0.56161326
11.52,-0.59927577
11.530001,-0.63319874
11.540001,-0.6630627
11.55,-0.68901116
11.56,-0.7116286
11.570001,-0.7318093
11.580001,-0.7507139
11.590001,-0.7696252
11.6,-0.78984994
11.610001,-0.8125927
11.620001,-0.8388474
11.63,-0.8692759
11.64,-0.904185
11.650001,-0.943426
11.660002,-0.9864337
11.67,-1.03218
11.68,-1.0792708
11.690001,-1.1259792
11.700001,-1.1703646
11.71,-1.2103572
11.72,-1.2439085
11.7300005,-1.2690787
11.740001,-1.2842001
11.75,-1.2879227
11.76,-1.2793633
11.77,-1.2581246
11.780001,-1.224348
11.79,-1.1787487
11.8,-1.1225085
11.81,-1.0572968
11.820001,-0.9851537
11.83,-0.9083892
11.84,-0.82943934
11.85,-0.7507607
11.860001,-0.674675
11.87,-0.60324174
11.88,-0.5381291
11.89,-0.48054197
11.900001,-0.4311354
11.91,-0.38998267
11.92,-0.35656637
11.93,-0.32983825
11.940001,-0.30827355
11.95,-0.28995955
11.96,-0.27275193
11.97,-0.25443196
11.9800005,-0.23281941
11.99,-0.20598604
12.0,-0.17237778
12.01,-0.13095136
12.02,-0.08126896
12.03,-0.023591967
12.04,0.04114782
12.05,0.11131984
12.06,0.18468508
12.07,0.25852942
12.08,0.32980394
12.09,0.3953062
12.1,0.45185915
12.11,0.49659675
12.12,0.5270996
12.13,0.5416225
12.14,0.53922355
12.15,0.51991487
12.16,0.48466378
12.17,0.43546742
12.18,0.375214
12.19,0.30763105
12.2,0.23703642
12.21,0.16818224
